"id","inlf","hours","kidslt6","kidsge6","age","educ","wage","repwage","hushrs","husage","huseduc","huswage","faminc","mtr","motheduc","fatheduc","unem","city","exper","nwifeinc","lwage","expersq"
"1",1,1610,1,0,32,12,3.3540000916,2.6500000954,2708,34,12,4.0288000107,16310,0.7214999795,12,7,5,0,14,10.9100599289,1.2101536989,196
"2",1,1656,0,2,30,12,1.3889000416,2.6500000954,2310,30,9,8.4415998459,21800,0.6614999771,7,7,11,1,5,19.4999809265,0.3285121024,25
"3",1,1980,1,3,35,12,4.5454998016,4.0399999619,3072,40,12,3.5806999207,21040,0.6915000081,12,7,5,0,15,12.0399103165,1.5141377449,225
"4",1,456,0,3,34,12,1.0965000391,3.25,1920,53,10,3.5416998863,7300,0.7814999819,7,7,5,0,6,6.7999958992,0.0921233222,36
"5",1,1568,1,2,31,14,4.5918002129,3.5999999046,2000,32,12,10,27300,0.6215000153,12,14,9.5,1,7,20.1000576019,1.5242722034,49
"6",1,2032,0,0,54,12,4.742099762,4.6999998093,1040,57,11,6.7105998993,19495,0.6915000081,14,7,7.5,1,33,9.8590536118,1.5564800501,1089
"7",1,1440,0,2,37,16,8.3332996368,5.9499998093,2670,37,12,3.4277000427,21152,0.6915000081,14,7,5,0,11,9.152048111,2.1202595234,121
"8",1,1020,0,0,54,12,7.843100071,9.9799995422,4120,53,8,2.548500061,18900,0.6915000081,3,3,5,0,35,10.9000377655,2.0596342087,1225
"9",1,1458,0,2,48,12,2.1261999607,0,1995,52,4,4.2206001282,20405,0.7515000105,7,7,3,0,24,17.3050003052,0.7543363571,576
"10",1,1600,0,2,39,12,4.6875,4.1500000954,2100,43,12,5.7143001556,20425,0.6915000081,7,7,5,0,21,12.9250001907,1.5448993444,441
"11",1,1969,0,1,33,12,4.0630002022,4.3000001907,2450,34,12,9.7959003448,32300,0.5814999938,12,3,5,0,15,24.2999534607,1.4019216299,225
"12",1,1960,0,1,42,11,4.5918002129,4.5799999237,2375,47,14,8,28700,0.6215000153,14,7,5,0,14,19.7000713348,1.5242722034,196
"13",1,240,1,2,30,12,2.0833001137,0,2830,33,16,5.3003997803,15500,0.7214999795,16,16,5,0,0,15.0000076294,0.7339532375,0
"14",1,997,0,2,43,12,2.2667999268,3.5,3317,46,12,4.3413000107,16860,0.7214999795,10,10,7.5,1,14,14.6000003815,0.8183690906,196
"15",1,1848,0,1,43,10,3.6796998978,3.3800001144,2024,45,17,10.8699998856,31431,0.5814999938,7,7,7.5,1,6,24.6309146881,1.3028311729,36
"16",1,1224,0,3,35,11,1.347200036,0,1694,38,12,9.1499004364,19180,0.7214999795,16,10,7.5,1,9,17.5310268402,0.2980283797,81
"17",1,1400,0,2,43,12,3.2142999172,4,2156,45,12,6.122399807,18600,0.6915000081,10,7,7.5,1,20,14.0999803543,1.1676095724,400
"18",1,640,0,5,39,12,5.1750001907,2.25,2250,40,12,6.1497998238,19151,0.7214999795,12,12,7.5,1,6,15.8389997482,1.6438393593,36
"19",1,2000,0,0,45,12,2,2.2999999523,2024,51,11,6.9169998169,18100,0.6915000081,7,7,5,1,23,14.1000003815,0.6931471825,529
"20",1,1324,0,4,35,12,7.5528998375,3.9400000572,2123,40,10,4.7102999687,20300,0.6915000081,12,7,5,0,9,10.2999610901,2.0219316483,81
"21",1,2215,0,2,42,16,3.5051999092,3.2999999523,4160,48,16,3.131000042,30419,0.6215000153,10,16,7.5,0,5,22.6549816132,1.2542475462,25
"22",1,1680,0,0,30,12,3.5713999271,3.7999999523,2000,35,12,4,14090,0.7214999795,12,10,3,0,11,8.0900478363,1.2729576826,121
"23",1,1600,0,0,48,13,3.25,3.2599999905,2420,52,17,7.222700119,22679,0.6614999771,7,3,5,1,18,17.4790000916,1.1786550283,324
"24",1,800,0,0,45,12,3.25,2.2000000477,1150,53,17,7.9651999474,12160,0.7214999795,7,7,11,0,15,9.5600004196,1.1786550283,225
"25",1,1955,1,1,31,12,2.1545000076,2.2999999523,2024,31,12,4.0883998871,12487,0.7515000105,12,7,5,1,4,8.2749528885,0.7675586939,16
"26",1,660,0,2,43,17,3.787899971,0,1904,43,17,14.1809997559,29850,0.5814999938,16,14,9.5,1,21,27.3499851227,1.3318117857,441
"27",1,525,0,0,59,12,4,3.1800000668,2448,53,16,6.535900116,18100,0.6915000081,3,7,9.5,1,31,16,1.3862943649,961
"28",1,1904,0,3,32,12,4.7269001007,6.0700001717,2000,33,13,8.5,26000,0.6614999771,3,7,11,1,9,16.9999828339,1.5532696247,81
"29",1,1516,1,0,31,17,7.2558999062,6,2390,30,17,6.2761998177,26100,0.6215000153,12,12,5,0,7,15.1000556946,1.9818148613,49
"30",1,346,0,0,42,12,5.867099762,6.3899998665,1920,47,10,5.2083001137,17730,0.7214999795,12,12,9.5,0,7,15.6999835968,1.7693604231,49
"31",1,1040,0,0,50,11,1.5384999514,0,1840,53,10,2.7820999622,6719,0.7515000105,7,7,7.5,1,32,5.1189599037,0.4308078885,1024
"32",1,732,0,0,59,16,2.4590001106,2.5,3360,57,17,4.9106998444,18550,0.6915000081,3,3,14,1,11,16.7500114441,0.8997548223,121
"33",1,1880,0,2,36,13,5.851099968,5.1999998093,2284,35,13,5.8668999672,24600,0.6614999771,12,10,7.5,0,16,13.5999317169,1.7666296959,256
"34",1,1680,0,1,51,12,3.5713999271,3.2899999619,1875,50,8,7.5199999809,23100,0.6915000081,7,14,5,1,14,17.1000480652,1.2729576826,196
"35",1,2081,0,3,45,16,3.8067998886,4.1900000572,2140,47,17,7.5448999405,24656,0.6614999771,12,12,5,1,27,16.7340488434,1.3367888927,729
"36",1,690,0,1,42,11,2.4637999535,0,1896,44,8,5.5380001068,15897,0.7515000105,10,3,7.5,0,0,14.1969776154,0.9017048478,0
"37",1,4210,0,0,46,12,2.3752999306,4.6300001144,1040,49,16,6.9230999947,20320,0.6915000081,3,3,11,1,17,10.3199872971,0.8651236892,289
"38",1,2205,0,1,46,10,4.5350999832,4.5500001907,2200,52,12,5,21384,0.6614999771,10,3,11,0,28,11.3841047287,1.5118471384,784
"39",1,1952,0,0,51,14,5.6182999611,5.5999999046,1952,58,12,7.3063998222,25561,0.6215000153,7,7,14,0,24,14.594078064,1.7260291576,576
"40",1,1302,0,0,30,17,14.6309995651,9.529999733,1560,30,17,11.218000412,36550,0.5799999833,14,17,5,1,11,17.5004386902,2.6831424236,121
"41",1,112,1,2,30,12,2.6786000729,0,4030,33,16,3.8461999893,15810,0.7214999795,12,12,3,0,1,15.5099964142,0.9852942824,1
"42",1,893,0,0,57,12,3.9193999767,3.5,2570,58,12,5.8365998268,25500,0.6215000153,9,9,7.5,1,14,21.9999752045,1.3659385443,196
"43",1,583,1,2,31,16,2.5729000568,9.9799995422,1530,34,16,13.7250003815,24000,0.6614999771,14,16,9.5,1,6,22.5,0.9450336695,36
"44",1,480,0,2,48,12,4.5374999046,4.6500000954,3149,48,8,6.3492999077,22172,0.6614999771,3,3,5,0,10,19.9939994812,1.5123761892,100
"45",1,1900,0,3,30,12,2,2.2300000191,2690,32,12,5.2527999878,17930,0.7214999795,12,7,5,0,6,14.1300001144,0.6931471825,36
"46",1,576,0,2,34,12,3.4721999168,3.8399999142,3096,33,12,1.3075000048,7000,0.7814999819,12,7,3,0,4,5.0000128746,1.2447884083,16
"47",1,2056,0,2,48,16,2.0160999298,0,2552,53,16,2.7997999191,25300,0.7214999795,14,16,5,1,10,21.1548976898,0.7011649013,100
"48",1,1984,0,0,45,12,4.5715999603,4.8200001717,2040,47,11,2.6960999966,16212,0.7214999795,10,10,11,0,22,7.1419458389,1.5198632479,484
"49",1,2640,0,0,51,12,2.2727000713,0,2180,50,13,7.5687999725,22650,0.6614999771,7,7,3,0,16,16.6500720978,0.8209685683,256
"50",1,240,0,2,30,12,2.6375000477,0,1864,37,12,3.4077000618,6985,0.7814999819,12,7,14,0,6,6.3519997597,0.9698315263,36
"51",1,1173,0,1,46,12,2.2899000645,2.5,2068,46,12,6.5401000977,30000,0.6915000081,7,7,11,1,12,27.3139476776,0.8285081983,144
"52",1,3640,0,0,58,12,1.0988999605,0,2010,58,12,7.2139000893,18500,0.6915000081,7,3,9.5,1,32,14.5000038147,0.0943096429,1024
